"member(N1,Q1)","member(N2,Q1)","member(N3,Q1)",one_a(R1),"one_b(N1,R1)","one_b(N2,R1)","one_b(N3,R1)","left_rnd(N1,R1)","left_rnd(N2,R1)","left_rnd(N3,R1)","proposal(R1,V1)","proposal(R1,V2)","proposal(R1,V3)","vote(N1,R1,V1)","vote(N1,R1,V2)","vote(N1,R1,V3)","vote(N2,R1,V1)","vote(N2,R1,V2)","vote(N2,R1,V3)","vote(N3,R1,V1)","vote(N3,R1,V2)","vote(N3,R1,V3)","decision(N1,R1,V1)","decision(N1,R1,V2)","decision(N1,R1,V3)","decision(N2,R1,V1)","decision(N2,R1,V2)","decision(N2,R1,V3)","decision(N3,R1,V1)","decision(N3,R1,V2)","decision(N3,R1,V3)",none=R1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
